Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2012","03","22","15:30","76.5"
"Sodankylä Tähtelä","2012","03","22","15:40","76.5"
"Sodankylä Tähtelä","2012","03","22","15:50","77"
"Sodankylä Tähtelä","2012","03","22","16:00","77"
"Sodankylä Tähtelä","2012","03","22","16:10","77"
"Sodankylä Tähtelä","2012","03","22","16:20","77.5"
"Sodankylä Tähtelä","2012","03","22","16:30","78"
"Sodankylä Tähtelä","2012","03","22","16:40","78"
"Sodankylä Tähtelä","2012","03","22","16:50","78"
"Sodankylä Tähtelä","2012","03","22","17:00","78"
"Sodankylä Tähtelä","2012","03","22","17:10","78"
"Sodankylä Tähtelä","2012","03","22","17:20","78"
"Sodankylä Tähtelä","2012","03","22","17:30","78"
"Sodankylä Tähtelä","2012","03","22","17:40","78"
"Sodankylä Tähtelä","2012","03","22","17:50","78"
"Sodankylä Tähtelä","2012","03","22","18:00","78"
"Sodankylä Tähtelä","2012","03","22","18:10","78"
"Sodankylä Tähtelä","2012","03","22","18:20","77.5"
"Sodankylä Tähtelä","2012","03","22","18:30","77"
"Sodankylä Tähtelä","2012","03","22","18:40","77"
"Sodankylä Tähtelä","2012","03","22","18:50","77.5"
"Sodankylä Tähtelä","2012","03","22","19:00","77.5"
"Sodankylä Tähtelä","2012","03","22","19:10","77"
"Sodankylä Tähtelä","2012","03","22","19:20","77"
"Sodankylä Tähtelä","2012","03","22","19:30","77"
"Sodankylä Tähtelä","2012","03","22","19:40","76.5"
"Sodankylä Tähtelä","2012","03","22","19:50","77"
"Sodankylä Tähtelä","2012","03","22","20:00","78.5"
"Sodankylä Tähtelä","2012","03","22","20:10","79.5"
"Sodankylä Tähtelä","2012","03","22","20:20","81"
"Sodankylä Tähtelä","2012","03","22","20:30","82.5"
"Sodankylä Tähtelä","2012","03","22","20:40","83.5"
"Sodankylä Tähtelä","2012","03","22","20:50","84"
"Sodankylä Tähtelä","2012","03","22","21:00","83.5"
"Sodankylä Tähtelä","2012","03","22","21:10","83"
"Sodankylä Tähtelä","2012","03","22","21:20","82.5"
"Sodankylä Tähtelä","2012","03","22","21:30","82"
"Sodankylä Tähtelä","2012","03","22","21:40","82"
"Sodankylä Tähtelä","2012","03","22","21:50","82"
"Sodankylä Tähtelä","2012","03","22","22:00","82"
"Sodankylä Tähtelä","2012","03","22","22:10","82.5"
"Sodankylä Tähtelä","2012","03","22","22:20","83"
"Sodankylä Tähtelä","2012","03","22","22:30","83.5"
"Sodankylä Tähtelä","2012","03","22","22:40","84"
"Sodankylä Tähtelä","2012","03","22","22:50","84"
"Sodankylä Tähtelä","2012","03","22","23:00","83.5"
"Sodankylä Tähtelä","2012","03","22","23:10","83"
"Sodankylä Tähtelä","2012","03","22","23:20","83.5"
"Sodankylä Tähtelä","2012","03","22","23:30","84"
"Sodankylä Tähtelä","2012","03","22","23:40","84"
"Sodankylä Tähtelä","2012","03","22","23:50","84"
"Sodankylä Tähtelä","2012","03","23","00:00","84"
"Sodankylä Tähtelä","2012","03","23","00:10","84"
"Sodankylä Tähtelä","2012","03","23","00:20","84"
"Sodankylä Tähtelä","2012","03","23","00:30","84"
"Sodankylä Tähtelä","2012","03","23","00:40","84"
"Sodankylä Tähtelä","2012","03","23","00:50","84"
"Sodankylä Tähtelä","2012","03","23","01:00","83.5"
"Sodankylä Tähtelä","2012","03","23","01:10","82.5"
"Sodankylä Tähtelä","2012","03","23","01:20","82"
"Sodankylä Tähtelä","2012","03","23","01:30","82"
"Sodankylä Tähtelä","2012","03","23","01:40","82"
"Sodankylä Tähtelä","2012","03","23","01:50","82"
"Sodankylä Tähtelä","2012","03","23","02:00","82"
"Sodankylä Tähtelä","2012","03","23","02:10","82"
"Sodankylä Tähtelä","2012","03","23","02:20","82"
"Sodankylä Tähtelä","2012","03","23","02:30","82"
"Sodankylä Tähtelä","2012","03","23","02:40","82"
"Sodankylä Tähtelä","2012","03","23","02:50","82"
"Sodankylä Tähtelä","2012","03","23","03:00","82"
"Sodankylä Tähtelä","2012","03","23","03:10","82"
"Sodankylä Tähtelä","2012","03","23","03:20","82"
"Sodankylä Tähtelä","2012","03","23","03:30","82"
"Sodankylä Tähtelä","2012","03","23","03:40","82"
"Sodankylä Tähtelä","2012","03","23","03:50","82.5"
"Sodankylä Tähtelä","2012","03","23","04:00","83"
"Sodankylä Tähtelä","2012","03","23","04:10","83"
"Sodankylä Tähtelä","2012","03","23","04:20","83"
"Sodankylä Tähtelä","2012","03","23","04:30","83"
"Sodankylä Tähtelä","2012","03","23","04:40","83"
"Sodankylä Tähtelä","2012","03","23","04:50","83"
"Sodankylä Tähtelä","2012","03","23","05:00","83"
"Sodankylä Tähtelä","2012","03","23","05:10","83"
"Sodankylä Tähtelä","2012","03","23","05:20","83"
"Sodankylä Tähtelä","2012","03","23","05:30","83"
"Sodankylä Tähtelä","2012","03","23","05:40","83"
"Sodankylä Tähtelä","2012","03","23","05:50","83"
"Sodankylä Tähtelä","2012","03","23","06:00","83"
"Sodankylä Tähtelä","2012","03","23","06:10","83"
"Sodankylä Tähtelä","2012","03","23","06:20","83"
"Sodankylä Tähtelä","2012","03","23","06:30","83"
"Sodankylä Tähtelä","2012","03","23","06:40","83"
"Sodankylä Tähtelä","2012","03","23","06:50","83"
"Sodankylä Tähtelä","2012","03","23","07:00","83"
